Ticket,Real,Prediccion_SVM,Confianza,Accion
creacin de directorios para dns de nuevo sistema de agenda de laboratorio,Técnico TI,Ingenieros TI,0.4340832345039621,Agente IA
asignacin direccionamiento oficina lneas de transmisin,Telecomunicaciones,Telecomunicaciones,0.6569505362715434,Agente IA
actualización de sap,DBA,Soporte de Campo,0.38090633729384765,Agente IA
problemas con mobile,Aplicaciones,DBA,0.29930648962725637,Agente IA
consulta por correo enviado,MDA,MDA,0.6654897710631196,Agente IA
sin acceso al correo,MDA,MDA,0.7439549517245329,Agente IA
solicitud de cables,Soporte de Campo,Aplicaciones,0.30871598188621857,Agente IA
solicitud de acceso a ami a rvv,ABM,AMI,0.6816889587038659,Agente IA
configuración de authenticator en nuevo equipo celular con el mismo numero,Ingenieros TI,Soporte de Campo,0.6275748301002427,Agente IA
instalacin icono sistema sinco filiales,Soporte de Campo,Soporte de Campo,0.6576601651221426,Agente IA
problema para ingresar a vdi,Ingenieros TI,Ingenieros TI,0.4641042438619707,Agente IA
creacion de informe de baja,DBA,Aplicaciones,0.36368950286932034,Agente IA
power bi,Soporte de Campo,Soporte de Campo,0.6838856749350338,Agente IA
acceso factigis  nayabeth tapia,ABM,ABM,0.3421792831411781,Agente IA
abmpaola patricia salinas trincado,ABM,Soporte de Campo,0.43913353799488436,Agente IA
no se visualiza consulkta dte,DTE,Aplicaciones,0.6649704891169967,Agente IA
actualizacion de vpn,Soporte de Campo,Soporte de Campo,0.6075218169349239,Agente IA
solicitud de clave permanentemente,Soporte de Campo,MDA,0.36500279845894007,Agente IA
scada eterra solicita modificar límites scada,TDO,TDO,0.7149671015300431,Agente IA
acceso a menu general de sistemas,DBA,ABM,0.5232516930919439,Agente IA
solicitud de respaldo informtico,Ingenieros TI,Soporte de Campo,0.44747994633401506,Agente IA
problema correo,Soporte de Campo,Soporte de Campo,0.5417047478190927,Agente IA
consulta,MDA,MDA,0.5940658749024682,Agente IA
renovacion michelle vera,Soporte de Campo,Soporte de Campo,0.6711579974079595,Agente IA
tti respaldar 20250062  a produccion  monitor fservice  procesador de archivos encolados 99238,Técnico TI,OT,0.413808096128138,Agente IA
acceso a pagina tecnored,Soporte de Campo,Soporte de Campo,0.46610082539540065,Agente IA
solicita listado de celulares de convenio y formularios,Telecomunicaciones,Telecomunicaciones,0.6500733891874909,Agente IA
sap,DBA,DBA,0.4655310935243233,Agente IA
migración de microsoft 365 casillas de dte,Ingenieros TI,Ingenieros TI,0.5782490630495416,Agente IA
cuenta mobile carlos mejías,Técnico TI,DBA,0.5435919616237519,Agente IA
solicita permisos de visualizacin,DBA,Ingenieros TI,0.3739432277833763,Agente IA
revisión de webservices sharepoint,Ingenieros TI,Soporte de Campo,0.5397353547341531,Agente IA
acceso opensmartflex  ticket  id 34749  fernando barahona castro,Aplicaciones,ABM,0.48148366725949937,Agente IA
cargo de teléfono no corresponde a ceco,Telecomunicaciones,Telecomunicaciones,0.5171452468397847,Agente IA
consulta josefa ignacia lohaus fuentes,ABM,Técnico TI,0.6288864459365654,Agente IA
contraseña de open bloqueada,DBA,DBA,0.5090683648765659,Agente IA
regularización glpi agent  nicole guzman,Soporte de Campo,Soporte de Campo,0.6084753511081354,Agente IA
error informacion pagina inicio  segunda revisin de documentos aprobada proyecto mejoramiento pavimento calle san jess id18427,Aplicaciones,Soporte de Campo,0.662882983946642,Agente IA
vpn error,Ingenieros TI,Ingenieros TI,0.5349247820264044,Agente IA
cuentas contin ambiente pruebas,Aplicaciones,Aplicaciones,0.3031394231624051,Agente IA
consulta como tiene que hacerlo para aprobar los vales de transporte,MDA,MDA,0.5069144500230621,Agente IA
regularizacion cmet saci chilquinta distribucin sa,Aplicaciones,Aplicaciones,0.7345903371238678,Agente IA
respaldo y creacin carpeta 2024,Soporte de Campo,Soporte de Campo,0.6082779272018839,Agente IA
eliminacin de archivos maliciosos detectados  pvaldes,Soporte de Campo,Aplicaciones,0.44156215960594386,Agente IA
error de acceso a dominio,Soporte de Campo,Ingenieros TI,0.30893097350119986,Agente IA
esteban alexis martinez ossandon est intentando ponerse en contacto con usted en microsoft teams,MDA,MDA,0.30165256124442064,Agente IA
solicitud de cables,Soporte de Campo,Aplicaciones,0.30871598188621857,Agente IA
correo electrónico,Ingenieros TI,Soporte de Campo,0.3108130472384975,Agente IA
acceso desde aws a endpoints de chilquinta,Ingenieros TI,Ingenieros TI,0.7178473668429767,Agente IA
corrección de envío duplicados de sms dom,Aplicaciones,Aplicaciones,0.7447848081450198,Agente IA
problema ingreso st portal sap,DBA,DBA,0.4286143422686222,Agente IA
solicitud de ingreso de impreso,Soporte de Campo,ABM,0.41459450004809945,Agente IA
base no reconoce red cableada,Soporte de Campo,Soporte de Campo,0.5389952691162548,Agente IA
información cierre de mes  20 de mayo,DBA,Aplicaciones,0.3309848669164875,Agente IA
lneas ito  redm note 13 pro 256g black,Telecomunicaciones,Telecomunicaciones,0.7195832938092711,Agente IA
acceso mgs transporte,ABM,ABM,0.34981958773483096,Agente IA
tti restablecimiento clave analista,Técnico TI,Técnico TI,0.42919075741742424,Agente IA
cambio de contrasea osf,DBA,MDA,0.4048272781637036,Agente IA
problemas acceso a servicios,Ingenieros TI,Aplicaciones,0.4621206864664215,Agente IA
reinicio pool nuevos vehículos creados,Aplicaciones,Soporte de Campo,0.5641287345454046,Agente IA
rv solicitud de accesos andrs ibacache,MDA,ABM,0.44224493367555046,Agente IA
usuario expirado,ABM,DBA,0.2295212022149513,Agente IA
cambio de contraseña,MDA,MDA,0.5814389799637238,Agente IA
desbloqueo de cuenta,MDA,MDA,0.6445565806454958,Agente IA
problemas rendimiento y carga laptop,Soporte de Campo,Soporte de Campo,0.38852997147244067,Agente IA
alerta de seguridad,Soporte de Campo,Ciberseguridad,0.5390746427594196,Agente IA
eliminar telfono 959946733,Aplicaciones,Aplicaciones,0.5102431807579944,Agente IA
modificaciones chq en autoridad,Aplicaciones,Aplicaciones,0.7429243171117571,Agente IA
monitor de desconecta,Soporte de Campo,Desarrollo de Sistemas y Proyectos Tecnológicos,0.2828087612532311,Agente IA
actividades personalizaciones integraciones smartflex v8  diciembre  efaundez,Actividades Proyectos IMA,Actividades Proyectos IMA,0.745967324778312,Agente IA
solucin operativa osf linares y parral 21022024,Aplicaciones,Aplicaciones,0.6313088279561053,Agente IA
convocatorias ley 21667  manejo remanentes,Actividades Proyectos IMA,Aplicaciones,0.6456801330841104,Agente IA
notificacin nuevos ingresos,Soporte de Campo,Soporte de Campo,0.5667366481111883,Agente IA
equipo sin acceso a la red,Soporte de Campo,Soporte de Campo,0.6418273073243529,Agente IA
tarea automtica que actualiza datos desde bbdd ion a dbstar,DBA,DBA,0.4121048995018916,Agente IA
solicitud de creacin sala primer piso,Ingenieros TI,Soporte de Campo,0.5754150479709242,Agente IA
solicita dejar nulo el ticket 55710,MDA,MDA,0.3993783784924782,Agente IA
cheques protestados,Aplicaciones,Aplicaciones,0.376388314814981,Agente IA
revisar acceso bloqueado,Ingenieros TI,Soporte de Campo,0.6235164194271888,Agente IA
consulta monsalvo ramirez,MDA,ABM,0.32821775614135623,Agente IA
visualización de liquidación de sueldo,ABM,Aplicaciones,0.3504005835437594,Agente IA
migracin masiva a despacho electrnico sin correo,Aplicaciones,Aplicaciones,0.49536484238888256,Agente IA
modificaciones chq  autoridad,Aplicaciones,Desarrollo de Sistemas y Proyectos Tecnológicos,0.4536006821093757,Agente IA
orm explotacion,Aplicaciones,Aplicaciones,0.7056729137971649,Agente IA
dar de bajar a usuario jgonzall,DBA,ABM,0.5336889333892737,Agente IA
cambio de contraseña,MDA,MDA,0.5814389799637238,Agente IA
cambio ip lan 2 gesan vlan 120,Soporte de Campo,Ingenieros TI,0.4165888757614044,Agente IA
editor de pdf,Soporte de Campo,Soporte de Campo,0.6715518606365406,Agente IA
error acceso orm,Soporte de Campo,Aplicaciones,0.39024197546985945,Agente IA
vdiproveedor,Telecomunicaciones,Aplicaciones,0.376388314814981,Agente IA
intermitencia en red quillota,Telecomunicaciones,Soporte de Campo,0.4757320872424718,Agente IA
problema corroe de alertas,Aplicaciones,Ingenieros TI,0.4127543401361238,Agente IA
favor ayuda con mi cuenta en osf greyesp,DBA,Soporte de Campo,0.4808299803186646,Agente IA
acceso a sap x chilquinta distribucin,ABM,ABM,0.480024375302309,Agente IA
credenciales cuenta de red  marcelino mingonett y pablo rios perez,Soporte de Campo,ABM,0.33208635140784676,Agente IA
actualizacin mac config productos medidores ami,Aplicaciones,Aplicaciones,0.5724193818241622,Agente IA
validar usuario 365,Ingenieros TI,Ingenieros TI,0.5446369226449291,Agente IA
visualizar documentos lista de anexos me23n usuario cbasistms,Técnico TI,Técnico TI,0.6240145428465481,Agente IA
compra red bloqueada,MDA,MDA,0.6201921620638245,Agente IA
cambio anexo a don salvador olivares,Telecomunicaciones,Telecomunicaciones,0.6057361229253998,Agente IA
20231002pmmsantaanatxt,Aplicaciones,Aplicaciones,0.376388314814981,Agente IA
restablecer contrasea de auto atencion oficina de san felipe,Soporte de Campo,Soporte de Campo,0.6150397370232018,Agente IA
acceso urgente,ABM,ABM,0.36085166993625833,Agente IA
dbapaso de datos de prd a testing capex,DBA,Aplicaciones,0.2901707105404716,Agente IA
problema login sitio clientes libres,Aplicaciones,Aplicaciones,0.48789771470622706,Agente IA
mopcle no entrega mensajes de error,Actividades Proyectos IMA,Aplicaciones,0.44563398156554124,Agente IA
activación de regla,Aplicaciones,Aplicaciones,0.5054347191399786,Agente IA
error a descargar pdf,Soporte de Campo,Soporte de Campo,0.7087064887158601,Agente IA
error bsc indicadores no informados  v2,DBA,Aplicaciones,0.599297263222747,Agente IA
solicita instalacin power bi report server,Soporte de Campo,Soporte de Campo,0.3739218587625752,Agente IA
actividades personalizaciones integraciones smartflex v8  noviembre  epenroz,Actividades Proyectos IMA,Actividades Proyectos IMA,0.7275620724828603,Agente IA
registro de sobretiempo,DBA,Aplicaciones,0.2787328338402923,Agente IA
problemas al ingreso de sobretiempo,DBA,Soporte de Campo,0.38347973235235394,Agente IA
sincronizacin con mdms 09012026,Aplicaciones,Desarrollo de Sistemas y Proyectos Tecnológicos,0.5887369446964862,Agente IA
reinstalación de empalme producto 429708 los andes  chilquinta,Aplicaciones,Aplicaciones,0.7278195812618872,Agente IA
modificacion de periodo de consumio para reinstalación de servicio  00014ahdujhc2v63 producto410883 cartagena chilquinta,Aplicaciones,Aplicaciones,0.46452274643634617,Agente IA
favor instalar aplicacin autocad2024lt,Soporte de Campo,Soporte de Campo,0.7184939540885878,Agente IA
problemas para entrar al orm versin 42,DBA,Soporte de Campo,0.5751309899744637,Agente IA
sin acceso a su equipo,MDA,Soporte de Campo,0.5293783230147288,Agente IA
apertura archivos worddocx,Soporte de Campo,Soporte de Campo,0.5125261753711184,Agente IA
ejecucion proyecto  integracin osf y canales  campaas masivas cobranza  fase 1  envo de datos,Actividades Proyectos IMA,Actividades Proyectos IMA,0.47696586644562905,Agente IA
acceso bpc,SAP,SAP,0.21927466714900623,Agente IA
problemas sistema de transporte,Aplicaciones,Aplicaciones,0.26412215457896804,Agente IA
problemas de acceso genesys,Soporte de Campo,Soporte de Campo,0.7183303230226649,Agente IA
incidente problemas conexión inalámbrica wifi,Incidente,Soporte de Campo,0.6507575006065522,Agente IA
problemas con contrasea globalpotect vpn,MDA,Soporte de Campo,0.5081404687785179,Agente IA
contrasea gisred,MDA,Sistemas GIS,0.5346304901655823,Agente IA
undeliverable  undeliverable  scarlett alejandra pizarro ayala está intentado ponerse en contacto con usted en microsoft teams,Ingenieros TI,Ingenieros TI,0.453006693174153,Agente IA
ot programadas fuera de plazo  reunión semanal semana 49,DBA,Aplicaciones,0.7471755914359143,Agente IA
urgente chilquinta  mspbasis copia mandantes erp y ewm,ABM,DBA,0.4241013563853571,Agente IA
registro impresora zebra en nac tecnored cd bodega logstica,Ingenieros TI,Soporte de Campo,0.680850502310529,Agente IA
problema citrix,Aplicaciones,Aplicaciones,0.5376576518108729,Agente IA
solicitud equipo incorporacin estudiante en prctica,Soporte de Campo,Soporte de Campo,0.5566692484396764,Agente IA
abmindividualanna verdejoxlsm,ABM,Aplicaciones,0.376388314814981,Agente IA
sin acceso a nueva plataforma citrx,Aplicaciones,MDA,0.29292688303348874,Agente IA
favor ejecutara reporte pnodx,Aplicaciones,Aplicaciones,0.5898492982683013,Agente IA
soporte,Aplicaciones,Seguimientos IMA,0.48968092156815457,Agente IA
programación de aplicaciones a celulares,Soporte de Campo,Soporte de Campo,0.5851088937790018,Agente IA
sap no muestra la opcin para pedir feriado legal,DBA,ABM,0.37962860858963626,Agente IA
acceso mdulo ess,ABM,ABM,0.4504248314600683,Agente IA
sin acceso a global protect,Soporte de Campo,MDA,0.37817702378847845,Agente IA
clave alumno practica bloqueada,MDA,DBA,0.46431235788954295,Agente IA
falla doble cara,Soporte de Campo,Soporte de Campo,0.40821943196820737,Agente IA
acceso a meridian,Meridian,Meridian,0.5148868857712082,Agente IA
aprobacin indicadores idms filiales,ABM,Aplicaciones,0.6215581855032976,Agente IA
revisin correos corporativos,Ingenieros TI,Soporte de Campo,0.49941421300670613,Agente IA
nuevo ingreso alan rocha,Soporte de Campo,ABM,0.5147525525369767,Agente IA
powerfactory 2022,Soporte de Campo,Aplicaciones,0.5833507195517974,Agente IA
eliminacin ad 547075471854719,Aplicaciones,Desarrollo de Sistemas y Proyectos Tecnológicos,0.6930927681760354,Agente IA
activar cuenta de acceso a data guard  po,DBA,ABM,0.3142542372435952,Agente IA
programación facdc  otras 10 empresas,Aplicaciones,DBA,0.35608884193063556,Agente IA
favor de revisar transacción en sap,DBA,Soporte de Campo,0.5299856113277966,Agente IA
configuracin de mfa,Soporte de Campo,Soporte de Campo,0.6024085738402482,Agente IA
notificacin nuevos ingresos,Soporte de Campo,Soporte de Campo,0.5667366481111883,Agente IA
problemas para ingresar a meridian poweruser y meridian web,Meridian,Meridian,0.6978301304042143,Agente IA
habilitacion de medidores feria navidea plaza san antonio,Aplicaciones,Aplicaciones,0.7419922508827465,Agente IA
problemas con abrir eo electric office,Sistemas GIS,Sistemas GIS,0.6311651545726461,Agente IA
problemas ingreso usuario open ggonzala,DBA,DBA,0.37923989347766435,Agente IA
problemas de impresion en sap,Soporte de Campo,Soporte de Campo,0.38166261392472217,Agente IA
buen da tengo problemas con el outlook genera error y tengo apagar,Soporte de Campo,Soporte de Campo,0.6830897833464332,Agente IA
credenciales  lector bv  anibal jesus hernandez iturrieta,ABM,ABM,0.4477977397934441,Agente IA
credenciales cuenta de red  veronica oriana fierro mardones,Soporte de Campo,Técnico TI,0.2601191753599738,Agente IA
acceso al portal tm en qas,Soporte de Campo,MDA,0.37799374562654475,Agente IA
mensaje de caducidad de licencia,TDO,Ingenieros TI,0.6408561215498582,Agente IA
soporte actualizacin de meridian enterprise server para equipo de oliver cabezas,Soporte de Campo,Soporte de Campo,0.7473061865233296,Agente IA
problemas en aplicacin mobile filiales sur,Aplicaciones,DBA,0.4070180552475642,Agente IA
clave correo rlazcancctngcl,ABM,MDA,0.3577574646574846,Agente IA
bloqueo de cuenta abril 2025,Soporte de Campo,DBA,0.2944058250894995,Agente IA
acceso a portal de meteorología informe variables meteorologicas en línea,DBA,Aplicaciones,0.21820165231385272,Agente IA
ayuda para activar micrfono,Soporte de Campo,Soporte de Campo,0.38809766697712345,Agente IA
cliente 335894 lo chaparro limache,Aplicaciones,Aplicaciones,0.73807847474239,Agente IA
consulta orm,Aplicaciones,Aplicaciones,0.7143936362821837,Agente IA
alerta de seguridad  usuario diriarte,Soporte de Campo,Ciberseguridad,0.40571104585989765,Agente IA
acceso citrix,Soporte de Campo,Aplicaciones,0.43908405475099194,Agente IA
problemas en orm,Soporte de Campo,Soporte de Campo,0.4109780350929513,Agente IA
tti modificacin fecha termino de vigencia  ricardo esteban pfaff nash,Técnico TI,Técnico TI,0.6490118498883197,Agente IA
problemas con outlook,Soporte de Campo,Soporte de Campo,0.7348949610414511,Agente IA
habilitación cuentes open sfpa1,DBA,DBA,0.4315655978329713,Agente IA
microsoft authenticator,Ingenieros TI,Ingenieros TI,0.5021773564155124,Agente IA
tti  reinicio de tsdesa  sberrios,Técnico TI,Técnico TI,0.5106122312760156,Agente IA
reporte observación chq 20220483  a producción  análisis cuentas contables,Aplicaciones,OT,0.726541717962936,Agente IA
esb  clave privada sftp,Técnico TI,Ingenieros TI,0.6618370191825238,Agente IA
ingreso de vale transporte tecnored cristobal ekelund  para aprobacion  chilquinta distribucion sa,Soporte de Campo,ABM,0.5467890153238871,Agente IA
problemas sap,DBA,Soporte de Campo,0.555050082644816,Agente IA
pase temporal  auto evaluación,Soporte de Campo,Soporte de Campo,0.49889650972686367,Agente IA
vpn no mantiene conexión,Soporte de Campo,Soporte de Campo,0.6979811336031022,Agente IA
documentos sin visualizar o descargar sap,DBA,Técnico TI,0.3390714491055255,Agente IA
boleta prod691338,Aplicaciones,Aplicaciones,0.5365916568194221,Agente IA
acceso shp,ABM,ABM,0.4504248314600683,Agente IA
crear cuenta dominio considerando el nombre de dominio anterior,ABM,ABM,0.53513549063438,Agente IA
autorizacin para acceso a correo tesoreriachilquintacl,Ingenieros TI,Ingenieros TI,0.30558371251371946,Agente IA
esb  solicitud conectividad relay,Ingenieros TI,Ingenieros TI,0.4730972750753745,Agente IA
solicita acceso a mandante sap qa 210,DBA,SAP,0.4753914648107018,Agente IA
lector jose avila sin internet lecturas se van al repositorio,Telecomunicaciones,Soporte de Campo,0.3642525774680562,Agente IA
orm con problema,Aplicaciones,Aplicaciones,0.583263159162643,Agente IA
rv  re  acceso apm eduardo jimenez,ABM,ABM,0.5019708774875443,Agente IA
solicitud de logs para revision portal web casablanca,Técnico TI,Ingenieros TI,0.3003136683399119,Agente IA
solicita agregar ejecutables a rol en osf,DBA,ABM,0.41256689603022995,Agente IA
alerta de apertura de perodo,Aplicaciones,Ciberseguridad,0.23761473121253288,Agente IA
eliminacin de interrupciones en autoridad 072025,Aplicaciones,Aplicaciones,0.6701029813411307,Agente IA
solicitud de anticipo,Soporte de Campo,Aplicaciones,0.30871598188621857,Agente IA
solicitud equipo computacional  nuevo ingreso,ABM,Soporte de Campo,0.6278197738253887,Agente IA
actualizacin cuenta scada 2024,ABM,Ingenieros TI,0.5589826543306922,Agente IA
instalacin notepad,Soporte de Campo,Soporte de Campo,0.6883053431655961,Agente IA
favor habilitar cuenta usuario germán araya,DBA,ABM,0.4584207151914355,Agente IA
modificacin de tope,Aplicaciones,Aplicaciones,0.5986726552107905,Agente IA
ami creacin de cuenta en el portal de analticas y gestin,ABM,ABM,0.5265161449470362,Agente IA
universo cnr agosto 2025 v2,Aplicaciones,Aplicaciones,0.5263380747060583,Agente IA
problemas para escanear,Soporte de Campo,Soporte de Campo,0.49337290135491574,Agente IA
configurare perfil,Soporte de Campo,ABM,0.44254088077094994,Agente IA
solicitud vpn osf  gisred eliacer sandoval  vinise ii,ABM,Soporte de Campo,0.3904761932818224,Agente IA
capetas y archivos onedrive,Soporte de Campo,Soporte de Campo,0.6900376939704821,Agente IA
sin unidad para asignar,Aplicaciones,Aplicaciones,0.5649830319694488,Agente IA
notificacin nuevos ingresos,Soporte de Campo,Soporte de Campo,0.5667366481111883,Agente IA
recuperar cuenta de usuario pc,ABM,Soporte de Campo,0.5933013696180724,Agente IA
problems of sap,SAP,Soporte de Campo,0.41438818769563285,Agente IA
error al visualizar anexos en sap,Técnico TI,Técnico TI,0.5341815779241859,Agente IA
problemas con espacio almacenamiento,Soporte de Campo,Soporte de Campo,0.7210104469216247,Agente IA
password osf  ticket  id 38090,DBA,DBA,0.5671326063938813,Agente IA
recepcin dte,DTE,Ingenieros TI,0.2098909433267694,Agente IA
notificacin nuevos ingresos,Soporte de Campo,Soporte de Campo,0.5667366481111883,Agente IA
faltan aplicaciones,Soporte de Campo,Soporte de Campo,0.427024982331653,Agente IA
sin acceso a menu general de sistema y libro de novedades 41743,MDA,ABM,0.40216113544123244,Agente IA
problemas de acceso desde el telfono ldadone,Soporte de Campo,Soporte de Campo,0.29341552651369646,Agente IA
re  re  re creación correo electrónico,Ingenieros TI,ABM,0.4836613775111325,Agente IA
ayuda visualización adjuntos orden sap,Técnico TI,Aplicaciones,0.6314972945589347,Agente IA
sin acceso a osf,MDA,Soporte de Campo,0.44100798044563483,Agente IA
consulta por estimacin,Aplicaciones,MDA,0.4744141667155568,Agente IA
password autoridad  ticket  id 41851,DBA,DBA,0.5928846884676546,Agente IA
caso constructora jm carreño ot 193100808 valorización visita  emisión carta dimensión colgado,Aplicaciones,Aplicaciones,0.6503185157545603,Agente IA
problemas con la vpn,Ingenieros TI,Soporte de Campo,0.5459709574791302,Agente IA
editar archivo host para pruebas,Soporte de Campo,Aplicaciones,0.31983325859953304,Agente IA
respuesta duplicado de boletas id0001qak14a99brb1 cliente n339555 chilquintavalparaiso,Aplicaciones,Aplicaciones,0.5821040970139182,Agente IA
orm explotacion,Aplicaciones,Aplicaciones,0.7056729137971649,Agente IA
notificacin de vencimiento de contrasea de red,MDA,MDA,0.6200406596546788,Agente IA
requerimiento de gestin de proyectos,Aplicaciones,Telecomunicaciones,0.28037200675286916,Agente IA
problema clave portal beneficios mdicos,MDA,MDA,0.6064181298551814,Agente IA
problema al ingresar a electric office,Soporte de Campo,Soporte de Campo,0.31955654058692373,Agente IA
orm rcanihua,Soporte de Campo,Aplicaciones,0.7056729137971649,Agente IA
recuperacin clave de red alexander chacn,MDA,MDA,0.7494622634717492,Agente IA
desbloqueo y cambio de contrasea sap,DBA,MDA,0.6193052405747508,Agente IA
revisar cuenta poweron bloqueada,PowerOn,DBA,0.2796519108030531,Agente IA
acceso orm  ticket 8378  carlos daniel gongora saavedra  carlos javier rojas carvajal,Ingenieros TI,Soporte de Campo,0.44821048162732086,Agente IA
reporte acceso condicional office 365  marzo,Ingenieros TI,Ingenieros TI,0.4767629766425813,Agente IA
servicios nuevos,Aplicaciones,Aplicaciones,0.4092463426523863,Agente IA
20230619pmmcasasrenacatxt,Aplicaciones,Aplicaciones,0.376388314814981,Agente IA
solicitud de acceso a escritorio remoto,Soporte de Campo,ABM,0.3219573451767251,Agente IA
solicitud incripción de sistema  tablero seguimiento itos,Técnico TI,Técnico TI,0.4421007880331446,Agente IA
re restablecer acceso a clevest alberto quijada,MDA,MDA,0.5400262128520822,Agente IA
inclusión archivos batch recaudación cefil  urgente,Aplicaciones,Aplicaciones,0.3839109317047902,Agente IA
acceso scada tco,ABM,Ingenieros TI,0.5115042102758108,Agente IA
restaurar backup bd dmps84 en desarrollo,DBA,DBA,0.4019862950772404,Agente IA
información extracción ley ssbb  orm,Aplicaciones,Aplicaciones,0.710275818393868,Agente IA
problema reporte ad 3116 lp,Aplicaciones,Aplicaciones,0.6480681377753233,Agente IA
acceso nemonicon osf,ABM,ABM,0.538243986994671,Agente IA
espacio discos,Soporte de Campo,Ingenieros TI,0.3719173905931221,Agente IA
abm  david rodriguez  agente mesa de ayuda,ABM,ABM,0.5830202449945762,Agente IA
regularizacin dominios onmicrosoft tecnored,Ingenieros TI,Aplicaciones,0.49754220223230666,Agente IA
favor revisar problemas de ingreso a dte grupo chilquinta  lx  px  consulta rechazo reiterado de facturas  grupo chilquinta,DTE,Aplicaciones,0.5056389457241308,Agente IA
calidad de archivo,Soporte de Campo,Técnico TI,0.3922174085402868,Agente IA
actualizacion de aplicativos compaia,Soporte de Campo,Soporte de Campo,0.6267950727170079,Agente IA
desbloqueoclaveosf,DBA,Aplicaciones,0.376388314814981,Agente IA
error al intentar abrir sap usuario coyanedg,Soporte de Campo,Soporte de Campo,0.41034217932721173,Agente IA
duplicado de boletas id0001qak14a99brb1 cliente n339555 chilquintavalparaiso,Aplicaciones,Aplicaciones,0.46972098392509615,Agente IA
consulta,Soporte de Campo,MDA,0.5940658749024682,Agente IA
consulta por ticket que esta pendiente pero no tiene el numero correcto,MDA,MDA,0.7028415593470737,Agente IA
permisos elementos anexos,Soporte de Campo,Técnico TI,0.530725508257868,Agente IA
acceso a link,Técnico TI,Soporte de Campo,0.28520385205298693,Agente IA
sin acceso al correo,MDA,MDA,0.7439549517245329,Agente IA
falla open,DBA,Soporte de Campo,0.567063965317475,Agente IA
problemas con ip computador y sap chino,Soporte de Campo,Soporte de Campo,0.749196800045203,Agente IA
cambiar licencias m365 de e3 a e5 para los usuarios indicados,Ingenieros TI,Ingenieros TI,0.6791264137483507,Agente IA
no acceso a archivos adjuntos reclamos osf,Soporte de Campo,Aplicaciones,0.6440498919211438,Agente IA
dba rv abm eletrans iii v4 claudia reyes,ABM,ABM,0.5786575850198958,Agente IA
acceso sharepoint,ABM,Técnico TI,0.6083021918278656,Agente IA
abm grupal vpn licencias digsilent powerfactory,ABM,ABM,0.4923876337026158,Agente IA
falla en registro de coordenadas de legalizacin,Aplicaciones,Aplicaciones,0.6674353356096833,Agente IA
sin acceso al correo,MDA,MDA,0.7439549517245329,Agente IA
baja y luego alta usuario wilson soto,ABM,ABM,0.40964299091926076,Agente IA
habilitar traslado individual de saldo a favor,Aplicaciones,Aplicaciones,0.6344011800499546,Agente IA
acceso mobile,ABM,DBA,0.41597817213183275,Agente IA
problemas de acceso a zight,MDA,Soporte de Campo,0.48927432232466295,Agente IA
urgente proceso 1 osfsap,Aplicaciones,Aplicaciones,0.7229568677509385,Agente IA
sistemas osf  ticket 12450  paola daniela vargas romero pvargaschilquintascl,DBA,DBA,0.2854558562961603,Agente IA
bloqueo de clave,DBA,DBA,0.4565411764401064,Agente IA
acceso sap reemplazo de clara a jcastro,ABM,Soporte de Campo,0.4522056975178992,Agente IA
tti  reinicio servicio ionxml testing,Técnico TI,Técnico TI,0.7417533529997443,Agente IA
acceso a correo venta de empalmes,Soporte de Campo,Ingenieros TI,0.32792472523638866,Agente IA
ejecución reporte pno,Aplicaciones,Aplicaciones,0.7314772232613338,Agente IA
alerta operacional n22,Soporte de Campo,Aplicaciones,0.2572426981872537,Agente IA
solicita incorporar aprobador mgs,Aplicaciones,Desarrollo de Sistemas y Proyectos Tecnológicos,0.4583735602767102,Agente IA
20241018pmmedaltomararontxt,Aplicaciones,Aplicaciones,0.376388314814981,Agente IA
actualizacin cuenta correo,ABM,ABM,0.5097376834132178,Agente IA
viticos trabajos fuera de zona,SAP,Aplicaciones,0.48769756747973236,Agente IA
sin acceso a citrix,Soporte de Campo,Aplicaciones,0.3441464746623502,Agente IA
problemas para organizar correos en carpetas,Soporte de Campo,Ingenieros TI,0.4787063126960575,Agente IA
problema con boton phishalarm,Soporte de Campo,Soporte de Campo,0.5648630487121518,Agente IA
noc dbadispositivo zsmartprd,DBA,Ingenieros TI,0.5951500563446197,Agente IA
cambio nro telefónico,Ingenieros TI,Aplicaciones,0.42364964311080744,Agente IA
cuenta bloqueada de vdi nalvarar,MDA,Ingenieros TI,0.7147979519977102,Agente IA
sin acceso al correo,MDA,MDA,0.7439549517245329,Agente IA
ventana,Soporte de Campo,Soporte de Campo,0.4836082993019007,Agente IA
checklist camioneta,Soporte de Campo,Aplicaciones,0.376388314814981,Agente IA
creacion de casilla de correo grupal  cd1,ABM,ABM,0.5672275479418513,Agente IA
20230417pmmnuevacarrerae2txt,Aplicaciones,Aplicaciones,0.376388314814981,Agente IA
interrupciones edecsa,Desarrollo de Sistemas y Proyectos Tecnológicos,Aplicaciones,0.428444940001596,Agente IA
problema electric office citrix,Aplicaciones,Sistemas GIS,0.6180366826804949,Agente IA
documento para integracin de una nueva prioridad reconexin autorizada sin moradores,Aplicaciones,Ingenieros TI,0.36584681073125314,Agente IA
02246985  re emails notificaciones slim4 fallando,Ingenieros TI,Ingenieros TI,0.4149616332216091,Agente IA
tti  solicitud de agenda de trabajo  luzparral,Ingenieros TI,Técnico TI,0.6943855663130695,Agente IA
